x,y,station_id,ANIO,SEMANA,huevos,TMAX,TMIN,PRECIP,EVAP,dist_km
-89.56154633,20.97378159,31095,2024,38,32,37.42857143,21.64285714,6.5,6.031428571,2.551687379
-89.56154633,20.97378159,31095,2024,37,46,37.21428571,23,2.985714286,4.188333333,2.551687379
-89.56154633,20.97378159,31095,2024,36,22,35.85714286,22.14285714,11.32857143,4.386,2.551687379
-89.56200409,20.97353745,31095,2024,35,39,39,23.28571429,3.714285714,4.738333333,2.521384536
-89.56200409,20.97353745,31095,2024,38,21,37.42857143,21.64285714,6.5,6.031428571,2.521384536
-89.56200409,20.97353745,31095,2024,37,4,37.21428571,23,2.985714286,4.188333333,2.521384536
-89.56200409,20.97353745,31095,2024,36,46,35.85714286,22.14285714,11.32857143,4.386,2.521384536
-89.56163025,20.97420311,31095,2024,35,28,39,23.28571429,3.714285714,4.738333333,2.523507161
-89.56163025,20.97420311,31095,2024,38,15,37.42857143,21.64285714,6.5,6.031428571,2.523507161
-89.56163025,20.97420311,31095,2024,36,20,35.85714286,22.14285714,11.32857143,4.386,2.523507161
-89.56163025,20.97420311,31095,2024,37,39,37.21428571,23,2.985714286,4.188333333,2.523507161
-89.56209564,20.97434235,31095,2024,35,48,39,23.28571429,3.714285714,4.738333333,2.473210111
-89.56209564,20.97434235,31095,2024,38,28,37.42857143,21.64285714,6.5,6.031428571,2.473210111
-89.56209564,20.97434235,31095,2024,36,0,35.85714286,22.14285714,11.32857143,4.386,2.473210111
-89.56209564,20.97434235,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,2.473210111
-89.56126404,20.97582817,31095,2024,35,21,39,23.28571429,3.714285714,4.738333333,2.48725445
-89.56126404,20.97582817,31095,2024,38,9,37.42857143,21.64285714,6.5,6.031428571,2.48725445
-89.56126404,20.97582817,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,2.48725445
-89.56126404,20.97582817,31095,2024,36,13,35.85714286,22.14285714,11.32857143,4.386,2.48725445
-89.56175995,20.97550774,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,2.452615945
-89.56175995,20.97550774,31095,2024,38,16,37.42857143,21.64285714,6.5,6.031428571,2.452615945
-89.56175995,20.97550774,31095,2024,37,27,37.21428571,23,2.985714286,4.188333333,2.452615945
-89.56175995,20.97550774,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,2.452615945
-89.56169891,20.97629929,31095,2024,35,19,39,23.28571429,3.714285714,4.738333333,2.426475359
-89.56169891,20.97629929,31095,2024,38,29,37.42857143,21.64285714,6.5,6.031428571,2.426475359
-89.56169891,20.97629929,31095,2024,36,46,35.85714286,22.14285714,11.32857143,4.386,2.426475359
-89.56169891,20.97629929,31095,2024,37,31,37.21428571,23,2.985714286,4.188333333,2.426475359
-89.56163025,20.97622299,31095,2024,35,17,39,23.28571429,3.714285714,4.738333333,2.436116545
-89.56163025,20.97622299,31095,2024,38,42,37.42857143,21.64285714,6.5,6.031428571,2.436116545
-89.56163025,20.97622299,31095,2024,37,10,37.21428571,23,2.985714286,4.188333333,2.436116545
-89.56163025,20.97622299,31095,2024,36,12,35.85714286,22.14285714,11.32857143,4.386,2.436116545
-89.5599823,20.97563744,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,2.619183621
-89.5599823,20.97563744,31095,2024,38,16,37.42857143,21.64285714,6.5,6.031428571,2.619183621
-89.5599823,20.97563744,31095,2024,36,11,35.85714286,22.14285714,11.32857143,4.386,2.619183621
-89.5599823,20.97563744,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,2.619183621
-89.56002045,20.97522926,31095,2024,35,21,39,23.28571429,3.714285714,4.738333333,2.631742817
-89.56002045,20.97522926,31095,2024,36,46,35.85714286,22.14285714,11.32857143,4.386,2.631742817
-89.56002045,20.97522926,31095,2024,37,38,37.21428571,23,2.985714286,4.188333333,2.631742817
-89.56002045,20.97522926,31095,2024,38,21,37.42857143,21.64285714,6.5,6.031428571,2.631742817
-89.55998993,20.97545052,31095,2024,35,31,39,23.28571429,3.714285714,4.738333333,2.625798466
-89.55998993,20.97545052,31095,2024,38,21,37.42857143,21.64285714,6.5,6.031428571,2.625798466
-89.55998993,20.97545052,31095,2024,37,25,37.21428571,23,2.985714286,4.188333333,2.625798466
-89.55998993,20.97545052,31095,2024,36,21,35.85714286,22.14285714,11.32857143,4.386,2.625798466
-89.55996704,20.97576904,31095,2024,35,17,39,23.28571429,3.714285714,4.738333333,2.615578839
-89.55996704,20.97576904,31095,2024,38,32,37.42857143,21.64285714,6.5,6.031428571,2.615578839
-89.55996704,20.97576904,31095,2024,37,23,37.21428571,23,2.985714286,4.188333333,2.615578839
-89.55996704,20.97576904,31095,2024,36,15,35.85714286,22.14285714,11.32857143,4.386,2.615578839
-89.55778503,20.97118187,31095,2024,35,55,39,23.28571429,3.714285714,4.738333333,3.030888728
-89.55778503,20.97118187,31095,2024,37,0,37.21428571,23,2.985714286,4.188333333,3.030888728
-89.55778503,20.97118187,31095,2024,36,13,35.85714286,22.14285714,11.32857143,4.386,3.030888728
-89.55778503,20.97118187,31095,2024,38,13,37.42857143,21.64285714,6.5,6.031428571,3.030888728
-89.55825043,20.97078133,31095,2024,35,38,39,23.28571429,3.714285714,4.738333333,3.009544882
-89.55825043,20.97078133,31095,2024,38,9,37.42857143,21.64285714,6.5,6.031428571,3.009544882
-89.55825043,20.97078133,31095,2024,36,14,35.85714286,22.14285714,11.32857143,4.386,3.009544882
-89.55825043,20.97078133,31095,2024,37,31,37.21428571,23,2.985714286,4.188333333,3.009544882
-89.55793762,20.9715786,31095,2024,35,36,39,23.28571429,3.714285714,4.738333333,2.996471503
-89.55793762,20.9715786,31095,2024,36,21,35.85714286,22.14285714,11.32857143,4.386,2.996471503
-89.55793762,20.9715786,31095,2024,37,83,37.21428571,23,2.985714286,4.188333333,2.996471503
-89.55793762,20.9715786,31095,2024,38,29,37.42857143,21.64285714,6.5,6.031428571,2.996471503
-89.55839539,20.97161293,31095,2024,35,13,39,23.28571429,3.714285714,4.738333333,2.952505834
-89.55839539,20.97161293,31095,2024,37,67,37.21428571,23,2.985714286,4.188333333,2.952505834
-89.55839539,20.97161293,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,2.952505834
-89.55839539,20.97161293,31095,2024,38,42,37.42857143,21.64285714,6.5,6.031428571,2.952505834
-89.55602264,20.97097206,31095,2024,35,31,39,23.28571429,3.714285714,4.738333333,3.204298906
-89.55602264,20.97097206,31095,2024,38,15,37.42857143,21.64285714,6.5,6.031428571,3.204298906
-89.55602264,20.97097206,31095,2024,36,48,35.85714286,22.14285714,11.32857143,4.386,3.204298906
-89.55602264,20.97097206,31095,2024,37,29,37.21428571,23,2.985714286,4.188333333,3.204298906
-89.55603027,20.97081184,31095,2024,35,15,39,23.28571429,3.714285714,4.738333333,3.211619021
-89.55603027,20.97081184,31095,2024,36,13,35.85714286,22.14285714,11.32857143,4.386,3.211619021
-89.55603027,20.97081184,31095,2024,37,33,37.21428571,23,2.985714286,4.188333333,3.211619021
-89.55603027,20.97081184,31095,2024,38,9,37.42857143,21.64285714,6.5,6.031428571,3.211619021
-89.55685425,20.97110367,31095,2024,35,24,39,23.28571429,3.714285714,4.738333333,3.120661765
-89.55685425,20.97110367,31095,2024,38,24,37.42857143,21.64285714,6.5,6.031428571,3.120661765
-89.55685425,20.97110367,31095,2024,37,12,37.21428571,23,2.985714286,4.188333333,3.120661765
-89.55685425,20.97110367,31095,2024,36,36,35.85714286,22.14285714,11.32857143,4.386,3.120661765
-89.55649567,20.97062492,31095,2024,35,65,39,23.28571429,3.714285714,4.738333333,3.178204966
-89.55649567,20.97062492,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,3.178204966
-89.55649567,20.97062492,31095,2024,37,44,37.21428571,23,2.985714286,4.188333333,3.178204966
-89.55649567,20.97062492,31095,2024,36,18,35.85714286,22.14285714,11.32857143,4.386,3.178204966
-89.5580368,20.97389221,31095,2024,35,121,39,23.28571429,3.714285714,4.738333333,2.8785094
-89.5580368,20.97389221,31095,2024,38,36,37.42857143,21.64285714,6.5,6.031428571,2.8785094
-89.5580368,20.97389221,31095,2024,37,72,37.21428571,23,2.985714286,4.188333333,2.8785094
-89.5580368,20.97389221,31095,2024,36,48,35.85714286,22.14285714,11.32857143,4.386,2.8785094
-89.5584259,20.97407913,31095,2024,35,21,39,23.28571429,3.714285714,4.738333333,2.833219665
-89.5584259,20.97407913,31095,2024,38,12,37.42857143,21.64285714,6.5,6.031428571,2.833219665
-89.5584259,20.97407913,31095,2024,36,16,35.85714286,22.14285714,11.32857143,4.386,2.833219665
-89.5584259,20.97407913,31095,2024,37,28,37.21428571,23,2.985714286,4.188333333,2.833219665
-89.55831146,20.97441673,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,2.830001556
-89.55831146,20.97441673,31095,2024,38,21,37.42857143,21.64285714,6.5,6.031428571,2.830001556
-89.55831146,20.97441673,31095,2024,37,55,37.21428571,23,2.985714286,4.188333333,2.830001556
-89.55831146,20.97441673,31095,2024,36,13,35.85714286,22.14285714,11.32857143,4.386,2.830001556
-89.55773926,20.97397041,31095,2024,35,79,39,23.28571429,3.714285714,4.738333333,2.903715405
-89.55773926,20.97397041,31095,2024,36,111,35.85714286,22.14285714,11.32857143,4.386,2.903715405
-89.55773926,20.97397041,31095,2024,37,67,37.21428571,23,2.985714286,4.188333333,2.903715405
-89.55773926,20.97397041,31095,2024,38,52,37.42857143,21.64285714,6.5,6.031428571,2.903715405
-89.56056976,20.97152138,31095,2024,35,71,39,23.28571429,3.714285714,4.738333333,2.759366172
-89.56056976,20.97152138,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,2.759366172
-89.56056976,20.97152138,31095,2024,36,24,35.85714286,22.14285714,11.32857143,4.386,2.759366172
-89.56056976,20.97152138,31095,2024,37,29,37.21428571,23,2.985714286,4.188333333,2.759366172
-89.56011963,20.97182465,31095,2024,35,31,39,23.28571429,3.714285714,4.738333333,2.783570687
-89.56011963,20.97182465,31095,2024,38,36,37.42857143,21.64285714,6.5,6.031428571,2.783570687
